path,class,color
./site_dataset/not_light/nl1left0070.jpg,2,not_light
./site_dataset/not_light/nl1left0107.jpg,2,not_light
./site_dataset/not_light/nl1left0112.jpg,2,not_light
./site_dataset/red/rleft1542.jpg,0,red
./site_dataset/not_light/nlleft0758.jpg,2,not_light
./site_dataset/not_light/nl1left0234.jpg,2,not_light
./site_dataset/red/rleft1227.jpg,0,red
./site_dataset/not_light/nl1left0831.jpg,2,not_light
./site_dataset/not_red/nr0left0375.jpg,1,not_red
./site_dataset/red/rleft0585.jpg,0,red
./site_dataset/not_light/nl1left0043.jpg,2,not_light
./site_dataset/not_light/nl1left0740.jpg,2,not_light
./site_dataset/red/rleft1451.jpg,0,red
./site_dataset/not_light/nl1left0603.jpg,2,not_light
./site_dataset/not_red/nrleft0048.jpg,1,not_red
./site_dataset/not_light/nl1left0214.jpg,2,not_light
./site_dataset/not_light/nl1left0408.jpg,2,not_light
./site_dataset/red/rleft0880.jpg,0,red
./site_dataset/red/rleft0592.jpg,0,red
./site_dataset/not_light/nl1left0163.jpg,2,not_light
./site_dataset/red/rleft0331.jpg,0,red
./site_dataset/not_red/nr0left0436.jpg,1,not_red
./site_dataset/not_red/nr1left1028.jpg,1,not_red
./site_dataset/red/rleft1533.jpg,0,red
./site_dataset/red/rleft1192.jpg,0,red
./site_dataset/red/rleft0557.jpg,0,red
./site_dataset/not_red/nr0left0025.jpg,1,not_red
./site_dataset/not_light/nl1left0617.jpg,2,not_light
./site_dataset/not_red/nrleft1611.jpg,1,not_red
./site_dataset/not_red/nr0left0393.jpg,1,not_red
./site_dataset/not_light/nl1left0224.jpg,2,not_light
./site_dataset/red/r0left0531.jpg,0,red
./site_dataset/red/rleft1548.jpg,0,red
./site_dataset/not_light/nl1left1000.jpg,2,not_light
./site_dataset/not_red/nrleft1437.jpg,1,not_red
./site_dataset/not_red/nr0left0030.jpg,1,not_red
./site_dataset/not_red/nr0left0426.jpg,1,not_red
./site_dataset/red/r1left0295.jpg,0,red
./site_dataset/not_red/nr1left0712.jpg,1,not_red
./site_dataset/red/rleft0933.jpg,0,red
./site_dataset/not_light/nl0left0147.jpg,2,not_light
./site_dataset/not_red/nr0left0302.jpg,1,not_red
./site_dataset/red/rleft0565.jpg,0,red
./site_dataset/not_light/nl1left0409.jpg,2,not_light
./site_dataset/not_red/nrleft1678.jpg,1,not_red
./site_dataset/red/rleft0567.jpg,0,red
./site_dataset/red/r0left0479.jpg,0,red
./site_dataset/not_light/nlleft1927.jpg,2,not_light
./site_dataset/not_light/nl1left0976.jpg,2,not_light
./site_dataset/red/rleft1858.jpg,0,red
./site_dataset/red/rleft0893.jpg,0,red
./site_dataset/red/r0left0170.jpg,0,red
./site_dataset/red/r1left0671.jpg,0,red
./site_dataset/red/rleft0572.jpg,0,red
./site_dataset/not_light/nlleft1910.jpg,2,not_light
./site_dataset/red/rleft1508.jpg,0,red
./site_dataset/not_light/nlleft1954.jpg,2,not_light
./site_dataset/not_red/nrleft1659.jpg,1,not_red
./site_dataset/not_light/nlleft0786.jpg,2,not_light
./site_dataset/red/rleft0538.jpg,0,red
./site_dataset/not_light/nl1left0436.jpg,2,not_light
./site_dataset/red/rleft1455.jpg,0,red
./site_dataset/not_light/nl1left0562.jpg,2,not_light
./site_dataset/not_red/nrleft0695.jpg,1,not_red
./site_dataset/not_light/nl1left0491.jpg,2,not_light
./site_dataset/red/r0left0148.jpg,0,red
./site_dataset/red/r1left0687.jpg,0,red
./site_dataset/not_light/nl1left0183.jpg,2,not_light
./site_dataset/not_light/nl1left0504.jpg,2,not_light
./site_dataset/not_light/nl1left0814.jpg,2,not_light
./site_dataset/not_light/nl1left0849.jpg,2,not_light
./site_dataset/red/r1left0279.jpg,0,red
./site_dataset/not_light/nl1left0643.jpg,2,not_light
./site_dataset/red/rleft1509.jpg,0,red
./site_dataset/not_red/nrleft1422.jpg,1,not_red
./site_dataset/not_red/nrleft1019.jpg,1,not_red
./site_dataset/red/rleft1866.jpg,0,red
./site_dataset/not_light/nl1left0587.jpg,2,not_light
./site_dataset/red/rleft0624.jpg,0,red
./site_dataset/red/rleft1228.jpg,0,red
./site_dataset/red/rleft1786.jpg,0,red
./site_dataset/not_red/nr0left0084.jpg,1,not_red
./site_dataset/not_red/nrleft1331.jpg,1,not_red
./site_dataset/not_red/nr0left0576.jpg,1,not_red
./site_dataset/red/rleft0947.jpg,0,red
./site_dataset/not_light/nl1left0935.jpg,2,not_light
./site_dataset/red/r0left0552.jpg,0,red
./site_dataset/red/r0left0495.jpg,0,red
./site_dataset/red/r0left0546.jpg,0,red
./site_dataset/red/rleft0837.jpg,0,red
./site_dataset/red/r0left0466.jpg,0,red
./site_dataset/not_light/nlleft0214.jpg,2,not_light
./site_dataset/red/r1left0674.jpg,0,red
./site_dataset/not_light/nl1left0000.jpg,2,not_light
./site_dataset/not_light/nlleft0755.jpg,2,not_light
./site_dataset/not_light/nl1left0529.jpg,2,not_light
./site_dataset/red/rleft1195.jpg,0,red
./site_dataset/red/rleft1172.jpg,0,red
./site_dataset/red/r0left0183.jpg,0,red
./site_dataset/red/r0left0534.jpg,0,red
./site_dataset/not_red/nr0left0307.jpg,1,not_red
./site_dataset/red/r1left0358.jpg,0,red
./site_dataset/not_red/nr0left0440.jpg,1,not_red
./site_dataset/not_red/nr0left0112.jpg,1,not_red
./site_dataset/red/rleft0640.jpg,0,red
./site_dataset/red/rleft0573.jpg,0,red
./site_dataset/not_light/nlleft1991.jpg,2,not_light
./site_dataset/red/rleft1501.jpg,0,red
./site_dataset/not_light/nl1left0525.jpg,2,not_light
./site_dataset/not_light/nl1left0068.jpg,2,not_light
./site_dataset/not_red/nrleft0111.jpg,1,not_red
./site_dataset/not_red/nrleft1068.jpg,1,not_red
./site_dataset/not_red/nrleft1721.jpg,1,not_red
./site_dataset/not_red/nrleft0991.jpg,1,not_red
./site_dataset/not_light/nlleft0001.jpg,2,not_light
./site_dataset/not_red/nr0left0581.jpg,1,not_red
./site_dataset/red/r0left0538.jpg,0,red
./site_dataset/not_light/nlleft1924.jpg,2,not_light
./site_dataset/red/r1left0659.jpg,0,red
./site_dataset/not_red/nr1left0727.jpg,1,not_red
./site_dataset/not_light/nlleft1985.jpg,2,not_light
./site_dataset/not_red/nrleft0692.jpg,1,not_red
./site_dataset/not_light/nlleft0134.jpg,2,not_light
./site_dataset/not_light/nlleft0002.jpg,2,not_light
./site_dataset/red/rleft1862.jpg,0,red
./site_dataset/not_light/nl1left0467.jpg,2,not_light
./site_dataset/red/r0left0465.jpg,0,red
./site_dataset/not_red/nr1left0721.jpg,1,not_red
./site_dataset/not_light/nl1left0275.jpg,2,not_light
./site_dataset/not_light/nlleft0075.jpg,2,not_light
./site_dataset/not_red/nrleft1084.jpg,1,not_red
./site_dataset/red/rleft0319.jpg,0,red
./site_dataset/not_light/nl1left0848.jpg,2,not_light
./site_dataset/not_light/nl1left0847.jpg,2,not_light
./site_dataset/not_light/nl1left0097.jpg,2,not_light
./site_dataset/red/rleft0941.jpg,0,red
./site_dataset/red/r1left0662.jpg,0,red
./site_dataset/not_red/nr0left0138.jpg,1,not_red
./site_dataset/not_red/nr0left0356.jpg,1,not_red
./site_dataset/not_light/nl1left0570.jpg,2,not_light
./site_dataset/not_light/nl1left1103.jpg,2,not_light
./site_dataset/red/r0left0480.jpg,0,red
./site_dataset/not_light/nlleft1897.jpg,2,not_light
./site_dataset/not_red/nr0left0098.jpg,1,not_red
./site_dataset/not_red/nr0left0352.jpg,1,not_red
